lastfm_url,track,artist,seeds,number_of_emotion_tags,valence_tags,arousal_tags,dominance_tags,mbid,spotify_id,genre,audio_previews

https://www.last.fm/music/m.i.a./_/bamboo%2bbanga,Bamboo Banga,M.I.A.,"['aggressive', 'fun', 'sexy', 'energetic']",13,6.555071428571428,5.537214285714287,5.691357142857143,99dd2c8c-e7c1-413e-8ea4-4497a00ffa18,6tqFC1DIOphJkCwrjVzPmg,hip-hop,audio_previews\6tqFC1DIOphJkCwrjVzPmg.mp3

https://www.last.fm/music/dope/_/die%2bmf%2bdie,Die MF Die,Dope,['aggressive'],7,3.771176470588235,5.348235294117648,5.441764705882353,b9eb3484-5e0e-4690-ab5a-ca91937032a5,5bU4KX47KqtDKKaLM4QCzh,metal,audio_previews\5bU4KX47KqtDKKaLM4QCzh.mp3

https://www.last.fm/music/deftones/_/7%2bwords,7 Words,Deftones,"['aggressive', 'angry']",10,3.807121212121212,5.473939393939394,4.7290909090909095,1a826083-5585-445f-a708-415dc90aa050,6DoXuH326aAYEN8CnlLmhP,nu metal,audio_previews\6DoXuH326aAYEN8CnlLmhP.mp3

https://www.last.fm/music/fiona%2bapple/_/limp,Limp,Fiona Apple,"['aggressive', 'angry', 'bitter']",20,3.7372108843537424,5.610204081632652,4.626734693877551,4435982c-b83e-4daa-af2b-9f3430036bb7,104YdibC7VQy78xAVmgRYr,singer-songwriter,audio_previews\104YdibC7VQy78xAVmgRYr.mp3

https://www.last.fm/music/black%2bflag/_/depression,Depression,Black Flag,['aggressive'],9,3.2594444444444446,5.203055555555556,4.422777777777778,585398ed-1275-4579-9451-e8dd7db9d59c,1qxkzHlZBXFv5HfyYqJ8cy,punk,audio_previews\1qxkzHlZBXFv5HfyYqJ8cy.mp3

https://www.last.fm/music/pendulum/_/comprachicos,Comprachicos,Pendulum,"['aggressive', 'epic']",4,5.754166666666667,5.565333333333333,5.8365,a3c325ce-fac4-42b9-85da-b3c9e0f243af,2ZIJUwprFZrAaZCRKYfAno,industrial,audio_previews\2ZIJUwprFZrAaZCRKYfAno.mp3

https://www.last.fm/music/deftones/_/when%2bgirls%2btelephone%2bboys,When Girls Telephone Boys,Deftones,"['aggressive', 'angry', 'driving', 'energetic']",8,3.910740740740741,4.915555555555556,4.631851851851851,3bc2c1a9-43bc-45b2-87fc-4313eb2534fe,6xK3sBdRm99g9T8Ov0gjdF,metal,audio_previews\6xK3sBdRm99g9T8Ov0gjdF.mp3

https://www.last.fm/music/black%2bflag/_/what%2bi%2bsee,What I See,Black Flag,"['aggressive', 'angry']",7,3.2054761904761904,5.0269047619047615,4.584761904761905,8050e7e7-2c7a-4390-bf77-eaedf293c626,3DaC3oRpGInTU0x8DvdSGp,punk,audio_previews\3DaC3oRpGInTU0x8DvdSGp.mp3

https://www.last.fm/music/lamb%2bof%2bgod/_/requiem,Requiem,Lamb of God,['aggressive'],2,2.97,5.935999999999999,5.214,23b46286-3b27-431b-8943-9be9d37836f9,0DxYrFOfiFShTbO2XdFpBX,metalcore,audio_previews\0DxYrFOfiFShTbO2XdFpBX.mp3

https://www.last.fm/music/black%2bflag/_/room%2b13,Room 13,Black Flag,"['aggressive', 'angry']",8,3.285,5.297222222222223,4.716296296296297,b83fe0b7-d40d-4e77-9b2b-606d36e4a391,7EZlzu01NzbR1jWEIDSk5T,punk,audio_previews\7EZlzu01NzbR1jWEIDSk5T.mp3

https://www.last.fm/music/mystikal/_/shake%2bya%2bass,Shake Ya Ass,Mystikal,['aggressive'],11,5.680882352941175,5.751911764705882,5.930882352941175,bf2761fe-8b4d-4cc8-bdea-0ccda7c3fed1,1jRzdY7oUBOhrylNtiMtBD,hip-hop,audio_previews\1jRzdY7oUBOhrylNtiMtBD.mp3

https://www.last.fm/music/deftones/_/combat,Combat,Deftones,"['aggressive', 'intense', 'epic', 'uplifting']",7,5.104098360655737,5.476229508196721,5.24467213114754,1b49361a-e594-490c-aa60-dde81b235d24,2tdzFXOsJLLI20QdnSqxr1,alternative metal,audio_previews\2tdzFXOsJLLI20QdnSqxr1.mp3

https://www.last.fm/music/fugazi/_/glue%2bman,Glue Man,Fugazi,"['aggressive', 'confrontational', 'intense', 'epic', 'desperate']",7,3.838627450980392,4.418725490196079,4.059803921568627,9e387cb2-843f-4db0-a0eb-8ba677dfd93d,1Nvy8JAL3DrO0a6xdgJSvv,punk,audio_previews\1Nvy8JAL3DrO0a6xdgJSvv.mp3

https://www.last.fm/music/the%2banimals/_/boom%2bboom,Boom Boom,The Animals,['aggressive'],4,3.796341463414634,4.475853658536585,5.564390243902439,74fa2e8f-01c9-4eb3-8078-402c877b7e3b,3RwomkUaNHS0gFs3QqgudU,classic rock,audio_previews\3RwomkUaNHS0gFs3QqgudU.mp3

https://www.last.fm/music/peaches/_/boys%2bwanna%2bbe%2bher,Boys Wanna Be Her,Peaches,"['aggressive', 'fierce', 'sexy']",7,5.841999999999999,5.979833333333334,5.920166666666666,4f7635bb-a53e-4772-8351-82177499cf20,46sqkKk663MiT1u0WHLQKF,electroclash,audio_previews\46sqkKk663MiT1u0WHLQKF.mp3

https://www.last.fm/music/black%2bflag/_/no%2bmore,No More,Black Flag,['aggressive'],5,3.5075000000000003,4.64875,4.8025,cb6d5d36-33e7-4e7a-b233-fd9f610cafe2,35BOEtOvV1qwzjblSKcPJ1,punk,audio_previews\35BOEtOvV1qwzjblSKcPJ1.mp3

https://www.last.fm/music/crossfade/_/death%2btrend%2bsetta,Death Trend Setta,Crossfade,['aggressive'],3,2.96,5.6091304347826085,4.957826086956522,20408c00-1e6d-4f0b-a907-24a6aae9b33a,6Xpm4ajdj9SkiP08JKg3vK,rock,audio_previews\6Xpm4ajdj9SkiP08JKg3vK.mp3

https://www.last.fm/music/black%2bflag/_/padded%2bcell,Padded Cell,Black Flag,['aggressive'],5,3.9846153846153847,5.235128205128204,5.487948717948718,5a69aa31-a004-4f5a-90c7-7389565431e9,6D69DWilPEsY2TqayoB7x5,punk,audio_previews\6D69DWilPEsY2TqayoB7x5.mp3

https://www.last.fm/music/run%2bthe%2bjewels/_/angel%2bduster,Angel Duster,Run the Jewels,"['aggressive', 'soft']",5,4.718333333333334,4.701666666666667,4.953333333333333,88af084e-ac25-40b4-84e3-cd0e488200cc,1V6qst2zfwpooDT1lfvDis,hip-hop,audio_previews\1V6qst2zfwpooDT1lfvDis.mp3

https://www.last.fm/music/black%2bveil%2bbrides/_/knives%2band%2bpens,Knives and Pens,Black Veil Brides,['aggressive'],6,5.265714285714286,5.682857142857143,5.716428571428572,5512523a-e1eb-4712-bd63-e30495783993,2ZhswJTKMkNNTAjrTmPhOJ,post-hardcore,audio_previews\2ZhswJTKMkNNTAjrTmPhOJ.mp3

https://www.last.fm/music/meshuggah/_/this%2bspiteful%2bsnake,This Spiteful Snake,Meshuggah,['aggressive'],3,2.2625,4.1125,4.0275,5fd8e6c1-a2af-4599-8854-e170350f5015,2yxAAU2xKo2Z04Se01J4Bq,progressive metal,audio_previews\2yxAAU2xKo2Z04Se01J4Bq.mp3

